paper_id,published_date,primary_category,clean_text
2605.15183v1,2026-05-14 17:58:27,cs.LG,when are two networks the same tensor similarity for mechanistic interpretability mechanistic interpretability aims to break models into meaningful parts verifying that two such parts implement the same computation is a prerequisite existing similarity measures evaluate either empirical behaviour leaving them blind to out-of-distribution mechanisms or basis-dependent parameters meaning they disregard weight-space symmetries to address these issues for the class of tensor-based models we introduce a weight-based metric tensor similarity that is invariant to such symmetries this metric captures global functional equivalence and accounts for cross-layer mechanisms using an efficient recursive algorithm empirically tensor similarity tracks functional training dynamics such as grokking and backdoor insertion with higher fidelity than existing metrics this reduces measuring similarity and verifying faithfulness into a solved algebraic problem rather than one of empirical approximation
2605.15182v1,2026-05-14 17:58:26,cs.CV,warp-as-history generalizable camera-controlled video generation from one training video camera-controlled video generation has made substantial progress enabling generated videos to follow prescribed viewpoint trajectories however existing methods usually learn camera-specific conditioning through camera encoders control branches or attention and positional-encoding modifications which often require post-training on large-scale camera-annotated videos training-free alternatives avoid such post-training but often shift the cost to test-time optimization or extra denoising-time guidance we propose warp-as-history a simple interface that turns camera-induced warps into camera-warped pseudo-history with target-frame positional alignment and visible-token selection given a target camera trajectory we construct camera-warped pseudo-history from past observations and feed it through the models visual-history pathway crucially we align its positional encoding with the target frames being denoised and remove warped-history tokens without valid source observations without any training architectural modification or test-time optimization this interface reveals a non-trivial zero-shot capability of a frozen video generation model to follow camera trajectories moreover lightweight offline lora finetuning on only one camera-annotated video further improves this capability and generalizes to unseen videos improving camera adherence visual quality and motion dynamics without test-time optimization or target-video adaptation extensive experiments on diverse datasets confirm the effectiveness of our method
2605.15181v1,2026-05-14 17:58:19,cs.CV,from plans to pixels learning to plan and orchestrate for open-ended image editing modern image editing models produce realistic results but struggle with abstract multi step instructions eg make this advertisement more vegetarian-friendly prior agent based methods decompose such tasks but rely on handcrafted pipelines or teacher imitation limiting flexibility and decoupling learning from actual editing outcomes we propose an experiential framework for long-horizon image editing where a planner generates structured atomic decompositions and an orchestrator selects tools and regions to execute each step a vision language judge provides outcome-based rewards for instruction adherence and visual quality the orchestrator is trained to maximize these rewards and successful trajectories are used to refine the planner by tightly coupling planning with reward driven execution our approach yields more coherent and reliable edits than single-step or rule-based multistep baselines
2605.15179v1,2026-05-14 17:58:15,cs.LG,eradicating negative transfer in multi-physics foundation models via sparse mixture-of-experts routing scaling scientific machine learning sciml toward universal foundation models is bottlenecked by negative transfer the simultaneous co-training of disparate partial differential equation pde regimes can induce gradient conflict unstable optimization and plasticity loss in dense neural operators in particular broadband open-channel fluid dynamics and boundary-dominated porous media flows impose incompatible spectral and geometric demands on a single dense parameter path we introduce shodh-moe a sparse-activated latent transformer architecture for multi-physics transport shodh-moe operates on compressed 163 physical latents produced by a physics-informed autoencoder with an intra-tokenizer helmholtz-style velocity parameterization restricting decoded states to divergence-free velocity manifolds the model guarantees exact mass conservation achieving a physically verifiable velocity divergence of 28 x 10-10 evaluated post-hoc in fp64 on 1283 grids a top-1 soft-semantic router dynamically assigns localized latent patches to expert subnetworks enabling specialized parameter paths for distinct physical mechanisms while preserving shared experts for universal symmetries in a 20000-step distributed pretraining run over mixed three-dimensional physical tensors routing telemetry shows autonomous domain bifurcation held-out validation tokens from the open-channel domain route exclusively to expert 0 while porous-media tokens route exclusively to expert 1 the model converges simultaneously across both regimes achieving latent validation mses of 246 x 10-5 and 976 x 10-6 and decoded physical mses of 248 x 10-6 and 176 x 10-6 these results support sparse expert routing as a practical architectural mechanism for mitigating multi-physics interference in universal neural operators
2605.15178v1,2026-05-14 17:58:03,cs.CV,sana-wm efficient minute-scale world modeling with hybrid linear diffusion transformer we introduce sana-wm an efficient 26b-parameter open-source world model natively trained for one-minute generation synthesizing high-fidelity 720p minute-scale videos with precise camera control sana-wm achieves visual quality comparable to large-scale industrial baselines such as lingbot-world and hy-worldplay while significantly improving efficiency four core designs drive our architecture 1 hybrid linear attention combines frame-wise gated deltanet gdn with softmax attention for memory-efficient long-context modeling 2 dual-branch camera control ensures precise 6-dof trajectory adherence 3 two-stage generation pipeline applies a long-video refiner to stage-1 outputs improving quality and consistency across sequences 4 robust annotation pipeline extracts accurate metric-scale 6-dof camera poses from public videos to yield high-quality spatiotemporally consistent action labels driven by these designs sana-wmdemonstrates remarkable efficiency across data training compute and inference hardware it uses only sim213k public video clips with metric-scale pose supervision completes training in 15 days on 64 h100s and generates each 60s clip on a single gpu its distilled variant can be deployed on a single rtx 5090 with nvfp4 quantization to denoise a 60s 720p clip in 34s on our one-minute world-model benchmark sana-wm demonstrates stronger action-following accuracy than prior open-source baselines and achieves comparable visual quality at 36times higher throughput for scalable world modeling
2605.15177v1,2026-05-14 17:57:40,cs.AI,opendeepthink parallel reasoning via bradley--terry aggregation test-time compute scaling is a primary axis for improving llm reasoning existing methods primarily scale depth by extending a single reasoning trace scaling breadth by sampling multiple candidates in parallel is straightforward but introduces a selection bottleneck choosing the best candidate without a ground-truth verifier since pointwise llm judging is noisy and biased to address this we introduce opendeepthink a population-based test-time compute framework that selects via pairwise bradley-terry comparison each generation the llm judges random pairs of candidates and aggregates votes via bradley-terry into a global ranking top-ranked candidates are preserved and the top three quarters are mutated using the natural-language critiques produced during comparison the bottom quarter is discarded opendeepthink raises gemini 31 pros effective codeforces elo by 405 points in eight sequential llm-call rounds 27 minutes wall-clock the pipeline transfers across weaker and stronger models without retuning and on the multi-domain hle benchmark gains appear concentrated in objectively verifiable domains and reverse in subjective ones we release cf-73 a curated set of 73 expert-rated codeforces problems with international grandmaster annotation and 99 local-evaluation agreement against the official verdict
2605.15171v1,2026-05-14 17:56:07,cs.CV,evidential reasoning advances interpretable real-world disease screening disease screening is critical for early detection and timely intervention in clinical practice however most current screening models for medical images suffer from limited interpretability and suboptimal performance they often lack effective mechanisms to reference historical cases or provide transparent reasoning pathways to address these challenges we introduce eviscreen an evidential reasoning framework for disease screening that leverages region-level evidence from historical cases the proposed eviscreen offers retrospection interpretability through regional evidence retrieved from dual knowledge banks using this evidential mechanism the subsequent evidence-aware reasoning module makes predictions using both the current case and evidence from historical cases thereby enhancing disease screening performance furthermore rather than relying on post-hoc saliency maps eviscreen enhances localization interpretability by leveraging abnormality maps derived from contrastive retrieval our method achieves superior performance on our carefully established benchmarks for real-world disease screening yielding notably higher specificity at clinical-level recall code is publicly available at
2605.15168v1,2026-05-14 17:55:27,cs.CL,text knows what tables know when clinical timeline reconstruction via retrieval-augmented multimodal alignment reconstructing precise clinical timelines is essential for modeling patient trajectories and forecasting risk in complex heterogeneous conditions like sepsis while unstructured clinical narratives offer semantically rich and contextually complete descriptions of a patients course they often lack temporal precision and contain ambiguous event timing conversely structured electronic health record ehr data provides precise temporal anchors but misses a substantial portion of clinically meaningful events we introduce a retrieval-augmented multimodal alignment framework that bridges this gap to improve the temporal precision of absolute clinical timelines extracted from text our approach formulates timeline reconstruction as a graph-based multistep process it first extracts central anchor events from narratives to build an initial temporal scaffold places non-central events relative to this backbone and then calibrates the timeline using retrieved structured ehr rows as external temporal evidence evaluated using instruction-tuned large language models on the i2m4 benchmark spanning mimic-iii and mimic-iv our multimodal pipeline consistently improves absolute timestamp accuracy aultc and improves temporal concordance across nearly all evaluated models over unimodal text-only reconstruction without compromising event match rates furthermore our empirical gap analysis reveals that 348 of text-derived events are entirely absent from tabular records demonstrating that aligning these modalities can produce a more temporally faithful and clinically informative reconstruction of patient trajectories than either source alone
2605.15167v1,2026-05-14 17:55:11,cs.CV,does synthetic layered design data benefit layered design decomposition recent advances in image generation have made it easy to produce high-quality images however these outputs are inherently flattened entangling foreground elements background and text within a fixed canvas as a result flexible post-generation editing remains challenging revealing a clear last-mile gap toward practical usability existing approaches either rely on scarce proprietary layered assets or construct partially synthetic data from limited structural priors however both strategies face fundamental challenges in scalability in this work we investigate whether pure synthetic layered data can improve graphic design decomposition we make the assumption that in graphic design effective decomposition does not require modeling inter-layer dependencies as precisely as in natural-image composition since design elements are often intentionally arranged as modular and semantically separable components concretely we conduct a data-centric study based on cld baseline which is a state-of-the-art layer decomposition framework based on the baseline we construct our own synthetic dataset synlayers generate textual supervision using vision language models and automate inference inputs with vlm-predicted bounding boxes our study reveals three key findings 1 even training with purely synthetic data can outperform non-scalable alternatives such as the widely used prismlayerspro dataset demonstrating its viability as a scalable and effective substitute 2 performance consistently improves with increased training data scale while gains begin to saturate at around 50k samples and 3 synthetic data enables balanced control over layer-count distributions avoiding the layer-count imbalance commonly observed in real-world datasets we hope this data-centric study encourages broader adoption of synthetic data as a practical foundation for layered design editing systems
2605.15164v1,2026-05-14 17:54:28,cs.LG,position behavioural assurance cannot verify the safety claims governance now demands this position paper argues that behavioural assurance even when carefully designed is being asked to carry safety claims it cannot verify ai governance frameworks enacted between 2019 and early 2026 require reviewable evidence of properties such as the absence of hidden objectives resistance to loss-of-control precursors and bounded catastrophic capability current assurance methodologies primarily behavioural evaluations and red-teaming are epistemically limited to observable model outputs and cannot verify the latent representations or long-horizon agentic behaviours these frameworks presume to regulate we formalize this structural mismatch as the audit gap the divergence between required and achievable verification access and introduce the concept of fragile assurance to describe cases where the evidential structure does not support the asserted safety claim through an analysis of a 21-instrument inventory we identify an incentive gradient where geopolitical and industrial pressures systematically reward surface-level behavioral proxies over deep structural verification finally we propose a technical pivot bounding the weight of behavioral evidence in legal text and extending voluntary pre-deployment access with mechanistic-evidence classes specifically linear probes activation patching and beforeafter-training comparisons
2605.15157v1,2026-05-14 17:51:40,cs.RO,hand-in-the-loop improving dexterous vla via seamless interventional correction vision-language-action vla models are prone to compounding errors in dexterous manipulation where high-dimensional action spaces and contact-rich dynamics amplify small policy deviations over long horizons while interactive imitation learning iil can refine policies through human takeover data applying it to high-degree-of-freedom dof robotic hands remains challenging due to a command mismatch between human teleoperation and policy execution at the takeover moment which causes abrupt robot-hand configuration changes or gesture jumps we present hand-in-the-loop handitl a seamless human-in-the-loop intervention method that blends human corrective intent with autonomous policy execution to avoid gesture jumps during bimanual dexterous manipulation compared with direct teleoperation takeover handitl reduces takeover jitter by 998 and preserves robust post-takeover manipulation reducing grasp failures by 875 and mean completion time by 191 we validate handitl on tasks requiring bimanual coordination tool use and fine-grained long-horizon manipulation when used to collect intervention data for policy refinement handitl yields policies that outperform those trained with standard teleoperation data by 19 on average across three long-horizon dexterous tasks
2605.15156v1,2026-05-14 17:51:34,cs.CL,memo memory as a model large language models llms achieve strong performance across a wide range of tasks but remain frozen after pretraining until subsequent updates many real-world applications require timely domain-specific information motivating the need for efficient mechanisms to incorporate new knowledge in this paper we introduce memo memory as a model a modular framework that encodes new knowledge into a dedicated memory model while keeping the llm parameters unchanged compared to existing methods memo offers several advantages a it captures complex cross-document relationships b it is robust to retrieval noise c it avoids catastrophic forgetting in the llm d it does not require access to the llms weights or output logits enabling plug-and-play integration with both open and proprietary closed-source llms and e its retrieval cost is independent of corpus size at inference time our experimental results on three benchmarks browsecomp-plus narrativeqa and musique show that memo achieves strong performance compared to existing methods across diverse settings
2605.15155v1,2026-05-14 17:51:26,cs.LG,self-distilled agentic reinforcement learning reinforcement learning rl has emerged as a central paradigm for post-training llm agents yet its trajectory-level reward signal provides only coarse supervision for long-horizon interaction on-policy self-distillation opsd complements rl by introducing dense token-level guidance from a teacher branch augmented with privileged context however transferring opsd to multi-turn agents proves problematic compounding multi-turn instability destabilizes supervision while skill-conditioned privileged guidance requires asymmetric treatment for negative teacher rejections may arise from imperfect skills retrieval or utilization we introduce sdar self-distilled agentic reinforcement learning which treats opsd as a gated auxiliary objective while keeping rl as the primary optimization backbone sdar maps detached token-level signals into a sigmoid gate strengthening distillation on teacher-endorsed positive-gap tokens and softly attenuating negative teacher rejections across the qwen25 and qwen3 families on alfworld webshop and search-qa sdar substantially improves over grpo 94 on alfworld 70 on search-qa 102 on webshop-acc avoids the instability of naive grpoopsd and consistently outperforms hybrid rl--opsd baselines across model scales
2605.15154v1,2026-05-14 17:51:09,stat.ML,roshap a distributional framework and robust metric for stable feature attribution feature attribution analysis is critical for interpreting machine learning models and supporting reliable data-driven decisions however feature attribution measures often exhibit stochastic variation different train--test splits random seeds or model-fitting procedures can produce substantially different attribution values and feature rankings this paper proposes a framework for incorporating stochastic nature of feature attribution and a robust attribution metric roshap for stable feature ranking based on the shap metric the proposed framework models the distribution of feature attribution scores and estimates it through bootstrap resampling and kernel density estimation we show that under mild regularity conditions the aggregated feature attribution score is asymptotically gaussian which greatly reduces the computational cost of distribution estimation the roshap summarizes the distribution of shap into a robust feature-ranking criterion that simultaneously rewards features that are active strong and stable through simulations and real-data experiments the proposed framework and roshap outperform standard single-run attribution measures in identifying signal features in addition models built using roshap-selected features achieve predictive performance comparable to full-feature models while using substantially fewer predictors the proposed roshap approach improves the stability and interpretability of machine learning models enabling reliable and consistent insights for analysis
2605.15153v1,2026-05-14 17:50:42,cs.RO,pelican-unified 10 a unified embodied intelligence model for understanding reasoning imagination and action we present pelican-unified 10 the first embodied foundation model trained according to the principle of unification pelican-unified 10 uses a single vlm as a unified understanding module mapping scenes instructions visual contexts and action histories into a shared semantic space the same vlm also serves as a unified reasoning module autoregressively producing task- action- and future-oriented chains of thought in a single forward pass and projecting the final hidden state into a dense latent variable a unified future generator ufg then conditions on this latent variable and jointly generates future videos and future actions through two modality-specific output heads within the same denoising process the language video and action losses are all backpropagated into the shared representation enabling the model to jointly optimize understanding reasoning imagination and action during training rather than training three isolated expert systems experiments demonstrate that unification does not imply compromise with a single checkpoint pelican-unified 10 achieves strong performance across all three capabilities 647 on eight vlm benchmarks the best among comparable-scale models 6603 on worldarena ranking first and 935 on robotwin the second-best average among compared action methods these results show that the unified paradigm succeeds in preserving specialist strength while bringing understanding reasoning imagination and action into one model
2605.15152v1,2026-05-14 17:50:39,cs.LG,widening the gap exploiting llm quantization via outlier injection llm quantization has become essential for memory-efficient deployment recent work has shown that quantization schemes can pose critical security risks an adversary may release a model that appears benign in full precision but exhibits malicious behavior once quantized by users however existing quantization-conditioned attacks have been limited to relatively simple quantization methods where the attacker can estimate weight regions that remain invariant under the target quantization notably prior attacks have consistently failed to compromise more popular and sophisticated schemes limiting their practical impact in this work we introduce the first quantization-conditioned attack that consistently induces malicious behavior that can be triggered by a broad range of advanced quantization techniques including awq gptq and gguf i-quants our attack exploits a simple property shared by many modern quantization methods large outliers can cause other weights to be rounded to zero consequently by injecting outliers into specific weight blocks an adversary can therefore induce a targeted predictable weight collapse in the model this effect can be used to craft seemingly benign full-precision models that exhibit a wide range of malicious behaviors after quantization through extensive evaluation across three attack scenarios and llms we show that our attack achieves high success rates against a broad range of quantization methods on which prior attacks fail our results demonstrate for the first time that the security risks of quantization are not restricted to simpler schemes but are broadly relevant across complex widely-used quantization methods
2605.15141v1,2026-05-14 17:46:36,cs.CV,causal forcing scalable few-step autoregressive diffusion distillation for real-time interactive video generation real-time interactive video generation requires low-latency streaming and controllable rollout existing autoregressive ar diffusion distillation methods have achieved strong results in the chunk-wise 4-step regime by distilling bidirectional base models into few-step ar students but they remain limited by coarse response granularity and non-negligible sampling latency in this paper we study a more aggressive setting frame-wise autoregression with only 1--2 sampling steps in this regime we identify the initialization of a few-step ar student as the key bottleneck existing strategies are either target-misaligned incapable of few-step generation or too costly to scale we propose textbfcausal forcing a principled and scalable pipeline that uses emphcausal consistency distillation causal cd for few-step ar initialization the core idea is that causal cd learns the same ar-conditional flow map as causal ode distillation but obtains supervision from a single online teacher ode step between adjacent timesteps avoiding the need to precompute and store full pf-ode trajectories this makes the initialization both more efficient and easier to optimize the resulting pipeline ours surpasses the sota 4-step chunk-wise causal forcing under the textittextbfframe-wise 2-step setting by 01 in vbench total 03 in vbench quality and 0335 in visionreward while reducing first-frame latency by 50 and stage 2 training cost by sim4times we further extend the pipeline to action-conditioned world model generation in the spirit of genie3 project page and
2605.15138v1,2026-05-14 17:44:10,cs.LG,forgetting that sticks quantization-permanent unlearning via circuit attribution standard unlearning evaluations measure behavioral suppression in full precision immediately after training despite every deployed language model being quantized first recent work has shown that 4-bit post-training quantization can reverse machine unlearning we show this is not a tuning artefact but a systematic dual failure gradient-based methods that achieve meaningful forgetting lose it under compression while methods that survive quantization barely change the model both failures trace to the same root cause across all baselines per-parameter updates lie 47-828x below the nf4 quantization bin width updates diffused across billions of parameters cannot clear quantization bin boundaries a consequence we formalize as a sparsity-permanence tradeoff we present mansu mechanistic-aligned null-space unlearning which resolves both modes by combining causal circuit attribution to isolate the minimal forget-set subgraph circuit-restricted null-space projection with a diagonal-fisher retain bound and a per-parameter magnitude floor guaranteeing quantization survival by construction we additionally introduce circuit attribution divergence cad a mechanistic verification metric distinguishing structural erasure from behavioral suppression a distinction existing metrics cannot make across multiple model families and hazard benchmarks mansu is the first method to jointly satisfy all four properties with margin on each meaningful forgetting retain preservation non-positive ptq gap and structural erasure while gradient-based baselines recover up to 005 accuracy under compression
2605.15134v1,2026-05-14 17:41:52,cs.LG,training ml models with predictable failures estimating how often an ml model will fail at deployment scale is central to pre-deployment safety assessment but a feasible evaluation set is rarely large enough to observe the failures that matter jones et al 2025 address this by extrapolating from the largest k failure scores in an evaluation set to predict deployment-scale failure rates we give a finite-k decomposition of this estimators forecast error and show that it has a built-in bias toward over-prediction in the typical case which is the safety-favorable direction this bias is offset when the evaluation set misses a rare high-failure mode that the deployment set contains leaving the forecast to under-predict at deployment scale we propose a fine-tuning objective the forecastability loss that addresses this failure mode in two proof-of-concept experiments a language-model password game and an rl gridworld fine-tuning substantially reduces held-out forecast error while preserving primary-task capability and achieving safety similar to that of supervised baselines
2605.15133v1,2026-05-14 17:40:28,cs.LG,causal foundation models with continuous treatments causal inference estimating causal effects from observational data is a fundamental tool in many disciplines of particular importance across a variety of domains is the continuous treatment setting where the variable of intervention has a continuous range this setting is far less explored and represents a substantial shift from the binary treatment setting with models needing to represent effects across a continuum of treatment values in this paper we present the first causal foundation model for the continuous treatment setting our model meta-learns the ability to predict causal effects across a wide variety of unseen tasks without additional training or fine-tuning first we design a novel prior over data-generating processes with continuous treatment variables in order to generate a rich causal training corpus we then train a transformer to reconstruct individual treatment-response curves given only observational data leveraging in-context learning to amortize expensive bayesian posterior inference our model achieves state-of-the-art performance on individual treatment-response curve reconstruction tasks compared to causal models which are trained specifically for those tasks
